   Time             I1                VP1               V3              
 8.000200000E-001  3.710914918E+000  3.723451952E+000  4.998522409E-001 
 8.000300000E-001  3.705005650E+000  3.723747486E+000  4.998522391E-001 
 8.000400000E-001  3.699166842E+000  3.724039529E+000  4.998522373E-001 
 8.000500000E-001  3.693421537E+000  3.724326929E+000  4.998522354E-001 
 8.000600000E-001  3.687792409E+000  3.724608551E+000  4.998522336E-001 
 8.000700000E-001  3.682301674E+000  3.724883285E+000  4.998522318E-001 
 8.000800000E-001  3.676971002E+000  3.725150046E+000  4.998522299E-001 
 8.000900000E-001  3.671821430E+000  3.725407780E+000  4.998522281E-001 
 8.001000000E-001  3.666873280E+000  3.725655472E+000  4.998522263E-001 
 8.001100000E-001  3.662146082E+000  3.725892143E+000  4.998522245E-001 
 8.001200000E-001  3.657658492E+000  3.726116859E+000  4.998522227E-001 
 8.001300000E-001  3.653428219E+000  3.726328734E+000  4.998522208E-001 
 8.001400000E-001  3.649471958E+000  3.726526931E+000  4.998522190E-001 
 8.001500000E-001  3.645805324E+000  3.726710668E+000  4.998522172E-001 
 8.001600000E-001  3.642442786E+000  3.726879221E+000  4.998522154E-001 
 8.001700000E-001  3.639397616E+000  3.727031923E+000  4.998522136E-001 
 8.001800000E-001  3.636681830E+000  3.727168172E+000  4.998522118E-001 
 8.001900000E-001  3.634306148E+000  3.727287431E+000  4.998522100E-001 
 8.002000000E-001  3.632279945E+000  3.727389228E+000  4.998522082E-001 
 8.002100000E-001  3.630611217E+000  3.727473163E+000  4.998522064E-001 
 8.002200000E-001  3.629306550E+000  3.727538903E+000  4.998522046E-001 
 8.002300000E-001  3.628371092E+000  3.727586190E+000  4.998522028E-001 
 8.002400000E-001  3.627808536E+000  3.727614837E+000  4.998522010E-001 
 8.002500000E-001  3.627621102E+000  3.727624730E+000  4.998521992E-001 
 8.002600000E-001  3.627809530E+000  3.727615830E+000  4.998521974E-001 
 8.002700000E-001  3.628373075E+000  3.727588174E+000  4.998521956E-001 
 8.002800000E-001  3.629309515E+000  3.727541869E+000  4.998521938E-001 
 8.002900000E-001  3.630615153E+000  3.727477099E+000  4.998521920E-001 
 8.003000000E-001  3.632284835E+000  3.727394119E+000  4.998521902E-001 
 8.003100000E-001  3.634311974E+000  3.727293257E+000  4.998521884E-001 
 8.003200000E-001  3.636688569E+000  3.727174911E+000  4.998521866E-001 
 8.003300000E-001  3.639405240E+000  3.727039548E+000  4.998521848E-001 
 8.003400000E-001  3.642451266E+000  3.726887701E+000  4.998521830E-001 
 8.003500000E-001  3.645814626E+000  3.726719971E+000  4.998521812E-001 
 8.003600000E-001  3.649482046E+000  3.726537020E+000  4.998521794E-001 
 8.003700000E-001  3.653439052E+000  3.726339568E+000  4.998521776E-001 
 8.003800000E-001  3.657670028E+000  3.726128396E+000  4.998521757E-001 
 8.003900000E-001  3.662158276E+000  3.725904337E+000  4.998521739E-001 
 8.004000000E-001  3.666886083E+000  3.725668276E+000  4.998521721E-001 
 8.004100000E-001  3.671834791E+000  3.725421143E+000  4.998521703E-001 
 8.004200000E-001  3.676984869E+000  3.725163914E+000  4.998521685E-001 
 8.004300000E-001  3.682315993E+000  3.724897605E+000  4.998521666E-001 
 8.004400000E-001  3.687807122E+000  3.724623266E+000  4.998521648E-001 
 8.004500000E-001  3.693436586E+000  3.724341980E+000  4.998521630E-001 
 8.004600000E-001  3.699182168E+000  3.724054857E+000  4.998521612E-001 
 8.004700000E-001  3.705021193E+000  3.723763030E+000  4.998521593E-001 
 8.004800000E-001  3.710930617E+000  3.723467651E+000  4.998521575E-001 
 8.004900000E-001  3.716887117E+000  3.723169886E+000  4.998521556E-001 
 8.005000000E-001  3.722867187E+000  3.722870910E+000  4.998521538E-001 
 8.005100000E-001  3.728847225E+000  3.722571902E+000  4.998521520E-001 
 8.005200000E-001  3.734803632E+000  3.722274044E+000  4.998521501E-001 
 8.005300000E-001  3.740712900E+000  3.721978509E+000  4.998521483E-001 
 8.005400000E-001  3.746551707E+000  3.721686466E+000  4.998521464E-001 
 8.005500000E-001  3.752297011E+000  3.721399065E+000  4.998521445E-001 
 8.005600000E-001  3.757926139E+000  3.721117442E+000  4.998521427E-001 
 8.005700000E-001  3.763416873E+000  3.720842708E+000  4.998521408E-001 
 8.005800000E-001  3.768747545E+000  3.720575947E+000  4.998521389E-001 
 8.005900000E-001  3.773897117E+000  3.720318211E+000  4.998521371E-001 
 8.006000000E-001  3.778845265E+000  3.720070519E+000  4.998521352E-001 
 8.006100000E-001  3.783572463E+000  3.719833848E+000  4.998521333E-001 
 8.006200000E-001  3.788060053E+000  3.719609131E+000  4.998521315E-001 
 8.006300000E-001  3.792290326E+000  3.719397256E+000  4.998521296E-001 
 8.006400000E-001  3.796246586E+000  3.719199058E+000  4.998521277E-001 
 8.006500000E-001  3.799913219E+000  3.719015320E+000  4.998521258E-001 
 8.006600000E-001  3.803275756E+000  3.718846767E+000  4.998521239E-001 
 8.006700000E-001  3.806320926E+000  3.718694065E+000  4.998521220E-001 
 8.006800000E-001  3.809036710E+000  3.718557815E+000  4.998521202E-001 
 8.006900000E-001  3.811412392E+000  3.718438555E+000  4.998521183E-001 
 8.007000000E-001  3.813438595E+000  3.718336757E+000  4.998521164E-001 
 8.007100000E-001  3.815107323E+000  3.718252822E+000  4.998521145E-001 
 8.007200000E-001  3.816411990E+000  3.718187081E+000  4.998521126E-001 
 8.007300000E-001  3.817347447E+000  3.718139794E+000  4.998521107E-001 
 8.007400000E-001  3.817910002E+000  3.718111147E+000  4.998521088E-001 
 8.007500000E-001  3.818097435E+000  3.718101253E+000  4.998521069E-001 
 8.007600000E-001  3.817909007E+000  3.718110152E+000  4.998521050E-001 
 8.007700000E-001  3.817345461E+000  3.718137808E+000  4.998521031E-001 
 8.007800000E-001  3.816409020E+000  3.718184112E+000  4.998521012E-001 
 8.007900000E-001  3.815103383E+000  3.718248881E+000  4.998520993E-001 
 8.008000000E-001  3.813433699E+000  3.718331861E+000  4.998520974E-001 
 8.008100000E-001  3.811406560E+000  3.718432722E+000  4.998520955E-001 
 8.008200000E-001  3.809029964E+000  3.718551068E+000  4.998520937E-001 
 8.008300000E-001  3.806313293E+000  3.718686431E+000  4.998520918E-001 
 8.008400000E-001  3.803267266E+000  3.718838276E+000  4.998520899E-001 
 8.008500000E-001  3.799903906E+000  3.719006006E+000  4.998520880E-001 
 8.008600000E-001  3.796236485E+000  3.719188957E+000  4.998520861E-001 
 8.008700000E-001  3.792279478E+000  3.719386408E+000  4.998520842E-001 
 8.008800000E-001  3.788048502E+000  3.719597579E+000  4.998520823E-001 
 8.008900000E-001  3.783560254E+000  3.719821637E+000  4.998520805E-001 
 8.009000000E-001  3.778832446E+000  3.720057699E+000  4.998520786E-001 
 8.009100000E-001  3.773883737E+000  3.720304831E+000  4.998520767E-001 
 8.009200000E-001  3.768733658E+000  3.720562059E+000  4.998520748E-001 
 8.009300000E-001  3.763402534E+000  3.720828368E+000  4.998520730E-001 
 8.009400000E-001  3.757911405E+000  3.721102707E+000  4.998520711E-001 
 8.009500000E-001  3.752281940E+000  3.721383992E+000  4.998520692E-001 
 8.009600000E-001  3.746536357E+000  3.721671114E+000  4.998520674E-001 
 8.009700000E-001  3.740697332E+000  3.721962941E+000  4.998520655E-001 
 8.009800000E-001  3.734787908E+000  3.722258319E+000  4.998520637E-001 
 8.009900000E-001  3.728831407E+000  3.722556083E+000  4.998520618E-001 
 8.010000000E-001  3.722851337E+000  3.722855059E+000  4.998520600E-001 
 8.010100000E-001  3.716871298E+000  3.723154066E+000  4.998520581E-001 
 8.010200000E-001  3.710914890E+000  3.723451924E+000  4.998520563E-001 
 8.010300000E-001  3.705005622E+000  3.723747458E+000  4.998520544E-001 
 8.010400000E-001  3.699166814E+000  3.724039501E+000  4.998520526E-001 
 8.010500000E-001  3.693421509E+000  3.724326901E+000  4.998520508E-001 
 8.010600000E-001  3.687792381E+000  3.724608524E+000  4.998520489E-001 
 8.010700000E-001  3.682301646E+000  3.724883257E+000  4.998520471E-001 
 8.010800000E-001  3.676970974E+000  3.725150018E+000  4.998520453E-001 
 8.010900000E-001  3.671821402E+000  3.725407752E+000  4.998520435E-001 
 8.011000000E-001  3.666873253E+000  3.725655444E+000  4.998520416E-001 
 8.011100000E-001  3.662146054E+000  3.725892115E+000  4.998520398E-001 
 8.011200000E-001  3.657658463E+000  3.726116831E+000  4.998520380E-001 
 8.011300000E-001  3.653428190E+000  3.726328706E+000  4.998520362E-001 
 8.011400000E-001  3.649471930E+000  3.726526903E+000  4.998520344E-001 
 8.011500000E-001  3.645805295E+000  3.726710640E+000  4.998520326E-001 
