   Time             Iac2              Iac1              Vac1              Vac2            
 8.000010000E-001 -1.336223576E-003 -6.018012755E-004  3.982290922E+000  3.983819423E+000 
 8.000020000E-001 -1.359868662E-003 -5.718607810E-004  3.982292122E+000  3.983818281E+000 
 8.000030000E-001 -1.383486659E-003 -5.421547655E-004  3.982293352E+000  3.983817117E+000 
 8.000040000E-001 -1.407077121E-003 -5.127809288E-004  3.982294609E+000  3.983815930E+000 
 8.000050000E-001 -1.430639163E-003 -4.838351941E-004  3.982295894E+000  3.983814720E+000 
 8.000060000E-001 -1.454172338E-003 -4.554152611E-004  3.982297205E+000  3.983813489E+000 
 8.000070000E-001 -1.477677092E-003 -4.276099475E-004  3.982298543E+000  3.983812235E+000 
 8.000080000E-001 -1.501152092E-003 -4.005205057E-004  3.982299906E+000  3.983810959E+000 
 8.000090000E-001 -1.524596893E-003 -3.742357535E-004  3.982301294E+000  3.983809660E+000 
 8.000100000E-001 -1.548011053E-003 -3.488498379E-004  3.982302706E+000  3.983808340E+000 
 8.000110000E-001 -1.571395014E-003 -3.244586821E-004  3.982304139E+000  3.983806998E+000 
 8.000120000E-001 -1.594747001E-003 -3.011511041E-004  3.982305595E+000  3.983805633E+000 
 8.000130000E-001 -1.618067458E-003 -2.790194742E-004  3.982307070E+000  3.983804247E+000 
 8.000140000E-001 -1.641354608E-003 -2.581561631E-004  3.982308564E+000  3.983802838E+000 
 8.000150000E-001 -1.664610227E-003 -2.386499887E-004  3.982310075E+000  3.983801408E+000 
 8.000160000E-001 -1.687832096E-003 -2.205915450E-004  3.982311602E+000  3.983799956E+000 
 8.000170000E-001 -1.711020214E-003 -2.040660974E-004  3.982313144E+000  3.983798483E+000 
 8.000180000E-001 -1.734173694E-003 -1.891660162E-004  3.982314698E+000  3.983796987E+000 
 8.000190000E-001 -1.757292978E-003 -1.759765667E-004  3.982316263E+000  3.983795470E+000 
 8.000200000E-001 -1.780376735E-003 -1.645830139E-004  3.982317837E+000  3.983793932E+000 
 8.000210000E-001 -1.803424965E-003 -1.550688467E-004  3.982319417E+000  3.983792372E+000 
 8.000220000E-001 -1.826437224E-003 -1.475211064E-004  3.982321003E+000  3.983790790E+000 
 8.000230000E-001 -1.848985853E-003 -1.420659146E-004  3.982322592E+000  3.983789183E+000 
 8.000240000E-001 -1.869474797E-003 -1.366711189E-004  3.982324186E+000  3.983787558E+000 
 8.000250000E-001 -1.888462275E-003 -1.312692177E-004  3.982325782E+000  3.983785921E+000 
 8.000260000E-001 -1.905497093E-003 -1.258655402E-004  3.982327382E+000  3.983784270E+000 
 8.000270000E-001 -1.920653858E-003 -1.204618627E-004  3.982328986E+000  3.983782607E+000 
 8.000280000E-001 -1.934008065E-003 -1.150546325E-004  3.982330593E+000  3.983780932E+000 
 8.000290000E-001 -1.945635653E-003 -1.096456259E-004  3.982332205E+000  3.983779248E+000 
 8.000300000E-001 -1.955612561E-003 -1.042366193E-004  3.982333820E+000  3.983777557E+000 
 8.000310000E-001 -1.964016505E-003 -9.882228369E-005  3.982335439E+000  3.983775860E+000 
 8.000320000E-001 -1.970924313E-003 -9.340794804E-005  3.982337062E+000  3.983774159E+000 
 8.000330000E-001 -1.976414143E-003 -8.799183604E-005  3.982338688E+000  3.983772454E+000 
 8.000340000E-001 -1.980565045E-003 -8.257572404E-005  3.982340319E+000  3.983770748E+000 
 8.000350000E-001 -1.983454734E-003 -7.715783568E-005  3.982341953E+000  3.983769041E+000 
 8.000360000E-001 -1.985164033E-003 -7.173639460E-005  3.982343591E+000  3.983767335E+000 
 8.000370000E-001 -1.985770659E-003 -6.631672989E-005  3.982345233E+000  3.983765630E+000 
 8.000380000E-001 -1.985355880E-003 -6.089528881E-005  3.982346878E+000  3.983763928E+000 
 8.000390000E-001 -1.983999631E-003 -5.547207138E-005  3.982348528E+000  3.983762229E+000 
 8.000400000E-001 -1.981781850E-003 -5.004885395E-005  3.982350181E+000  3.983760535E+000 
 8.000410000E-001 -1.978782915E-003 -4.462386016E-005  3.982351838E+000  3.983758846E+000 
 8.000420000E-001 -1.975084096E-003 -3.919886638E-005  3.982353498E+000  3.983757163E+000 
 8.000430000E-001 -1.970765773E-003 -3.377564894E-005  3.982355163E+000  3.983755486E+000 
 8.000440000E-001 -1.965909213E-003 -2.834887880E-005  3.982356831E+000  3.983753815E+000 
 8.000450000E-001 -1.960595686E-003 -2.292388501E-005  3.982358503E+000  3.983752152E+000 
 8.000460000E-001 -1.954905571E-003 -1.749711487E-005  3.982360178E+000  3.983750497E+000 
 8.000470000E-001 -1.948920580E-003 -1.207212108E-005  3.982361858E+000  3.983748849E+000 
 8.000480000E-001 -1.942721539E-003 -6.645350936E-006  3.982363541E+000  3.983747209E+000 
 8.000490000E-001 -1.936388383E-003 -1.220357149E-006  3.982365228E+000  3.983745578E+000 
 8.000500000E-001 -1.930003712E-003  4.204636639E-006  3.982366919E+000  3.983743954E+000 
 8.000510000E-001 -1.923647019E-003  9.629630426E-006  3.982368613E+000  3.983742338E+000 
 8.000520000E-001 -1.917399128E-003  1.505462421E-005  3.982370311E+000  3.983740730E+000 
 8.000530000E-001 -1.911340863E-003  2.047784164E-005  3.982372013E+000  3.983739130E+000 
 8.000540000E-001 -1.905551716E-003  2.590105908E-005  3.982373719E+000  3.983737537E+000 
 8.000550000E-001 -1.900111180E-003  3.132250015E-005  3.982375428E+000  3.983735951E+000 
 8.000560000E-001 -1.895099189E-003  3.674394122E-005  3.982377141E+000  3.983734371E+000 
 8.000570000E-001 -1.890595236E-003  4.216538230E-005  3.982378858E+000  3.983732797E+000 
 8.000580000E-001 -1.886677925E-003  4.758149430E-005  3.982380579E+000  3.983731228E+000 
 8.000590000E-001 -1.883425416E-003  5.300115902E-005  3.982382303E+000  3.983729664E+000 
 8.000600000E-001 -1.880915868E-003  5.841727102E-005  3.982384031E+000  3.983728104E+000 
 8.000610000E-001 -1.879226108E-003  6.383160667E-005  3.982385762E+000  3.983726546E+000 
 8.000620000E-001 -1.878434297E-003  6.924416596E-005  3.982387497E+000  3.983724990E+000 
 8.000630000E-001 -1.878615929E-003  7.465672525E-005  3.982389236E+000  3.983723435E+000 
 8.000640000E-001 -1.879847389E-003  8.006573182E-005  3.982390979E+000  3.983721880E+000 
 8.000650000E-001 -1.882204170E-003  8.547296204E-005  3.982392725E+000  3.983720323E+000 
 8.000660000E-001 -1.885759993E-003  9.088019226E-005  3.982394475E+000  3.983718764E+000 
 8.000670000E-001 -1.890589907E-003  9.628209341E-005  3.982396229E+000  3.983717201E+000 
 8.000680000E-001 -1.896766744E-003  1.016839946E-004  3.982397986E+000  3.983715633E+000 
 8.000690000E-001 -1.904363778E-003  1.070823430E-004  3.982399747E+000  3.983714058E+000 
 8.000700000E-001 -1.913452063E-003  1.124771387E-004  3.982401511E+000  3.983712475E+000 
 8.000710000E-001 -1.924103099E-003  1.178719344E-004  3.982403279E+000  3.983710881E+000 
 8.000720000E-001 -1.936387495E-003  1.232631774E-004  3.982405051E+000  3.983709277E+000 
 8.000730000E-001 -1.950374084E-003  1.286526441E-004  3.982406827E+000  3.983707659E+000 
 8.000740000E-001 -1.966132590E-003  1.340367817E-004  3.982408606E+000  3.983706026E+000 
 8.000750000E-001 -1.983729625E-003  1.394191429E-004  3.982410388E+000  3.983704376E+000 
 8.000760000E-001 -2.003233135E-003  1.447979514E-004  3.982412174E+000  3.983702707E+000 
 8.000770000E-001 -2.024707957E-003  1.501749836E-004  3.982413964E+000  3.983701018E+000 
 8.000780000E-001 -2.047912506E-003  1.564632868E-004  3.982415760E+000  3.983699299E+000 
 8.000790000E-001 -2.070954075E-003  1.647357806E-004  3.982417564E+000  3.983697561E+000 
 8.000800000E-001 -2.093964113E-003  1.744400180E-004  3.982419375E+000  3.983695806E+000 
 8.000810000E-001 -2.116932851E-003  1.859881138E-004  3.982421196E+000  3.983694031E+000 
 8.000820000E-001 -2.139859401E-003  1.992930265E-004  3.982423030E+000  3.983692234E+000 
 8.000830000E-001 -2.162742874E-003  2.142570565E-004  3.982424878E+000  3.983690416E+000 
 8.000840000E-001 -2.185582826E-003  2.307913860E-004  3.982426741E+000  3.983688577E+000 
 8.000850000E-001 -2.208379257E-003  2.488000916E-004  3.982428621E+000  3.983686718E+000 
 8.000860000E-001 -2.231131280E-003  2.681872502E-004  3.982430520E+000  3.983684837E+000 
